PM10,PM2.5,SO2,O3
55.61,24.29,9.86,3.84
62.47,34.03,11.00,2.76
59.47,33.12,8.81,2.45
64.95,34.40,6.46,3.20
58.10,34.69,4.70,7.66
44.66,32.93,4.19,9.37
38.31,27.60,4.03,8.31
36.09,20.94,3.96,5.91
37.03,19.25,4.21,4.73
36.06,13.57,5.03,6.02
40.06,11.11,5.95,11.16
41.33,19.76,7.33,18.49
43.03,18.13,8.88,26.47
38.22,18.27,9.83,31.29
29.35,13.03,8.23,31.59
23.72,10.00,7.36,31.59
23.57,8.05,5.81,34.17
19.83,6.21,6.00,35.74
20.27,5.20,8.16,31.40
24.63,10.34,9.16,22.75
41.39,16.52,10.58,12.64
37.41,11.93,9.59,16.27
41.62,10.95,8.27,15.26
45.89,14.55,7.54,11.70
39.43,20.43,6.16,5.03
41.75,17.68,5.19,9.51
35.99,13.00,4.89,11.38
26.41,15.95,4.48,13.08
24.80,14.01,4.35,13.89
18.18,12.14,4.22,14.27
13.30,9.11,4.11,15.01
14.54,8.13,3.89,14.66
15.28,5.99,4.36,13.97
21.70,4.31,4.87,16.10
16.48,3.70,6.43,16.39
21.01,2.85,7.14,19.64
21.77,2.94,6.72,24.62
22.54,3.92,6.19,30.06
22.53,6.01,5.89,32.79
23.14,5.12,5.19,34.70
16.84,4.72,5.14,35.20
18.81,7.99,4.98,36.48
17.32,6.72,6.65,33.40
21.39,6.06,7.12,27.10
39.88,15.68,12.48,15.11
48.97,11.66,15.53,10.98
62.56,15.95,13.27,15.69
56.70,23.92,8.34,14.05
63.65,23.35,6.63,11.71
53.00,22.04,6.31,9.81
45.56,22.93,5.04,11.17
44.57,17.54,4.69,10.74
32.82,19.29,4.46,11.15
27.49,13.96,4.53,12.34
20.15,10.58,4.24,12.27
18.18,7.79,4.50,12.22
20.05,6.18,4.45,11.80
23.73,4.43,4.48,11.06
22.40,3.70,5.98,13.00
22.08,3.63,8.43,20.36
30.10,6.67,8.26,27.45
31.36,5.86,7.63,30.84
27.19,6.15,7.36,33.16
34.49,12.49,7.63,36.73
32.05,18.62,7.74,32.40
35.67,19.94,7.44,32.91
33.76,15.46,6.82,31.46
31.36,14.00,7.17,24.07
33.61,17.85,7.50,16.48
38.85,13.50,8.68,8.78
61.15,13.57,7.47,6.90
68.80,20.36,7.08,6.75
69.13,30.95,5.43,10.66
48.29,23.91,4.81,10.10
44.09,18.59,4.91,11.78
31.39,17.45,4.57,13.60
30.15,13.70,4.17,11.95
21.94,14.85,4.06,12.00
22.59,13.47,4.03,12.18
20.31,15.45,4.22,10.59
25.24,11.57,4.29,8.45
36.98,8.28,4.51,7.16
33.08,6.63,5.43,12.60
31.84,5.34,5.94,17.10
,,,
,,,
,,,
19.26,5.35,,33.11
15.61,4.30,,32.91
20.94,4.10,2.76,30.99
20.35,3.89,7.59,29.37
17.34,3.53,24.93,22.22
28.28,6.66,54.50,10.04
68.00,12.41,20.94,17.69
57.54,20.33,14.48,13.60
56.02,18.19,11.52,10.66
53.20,25.36,7.82,10.58
47.90,18.64,7.54,13.38
35.49,13.94,9.27,16.54
30.05,10.44,7.35,21.40
21.07,7.32,7.47,20.71
14.78,5.34,7.10,21.79
11.57,3.80,8.90,17.99
17.65,4.33,7.46,16.02
18.36,8.87,5.74,12.66
16.94,6.98,6.44,12.42
21.57,5.97,5.40,16.98
15.67,4.67,4.56,21.11
19.74,4.23,3.02,26.49
23.41,3.71,3.23,29.16
19.28,3.66,3.53,31.90
15.11,3.52,3.88,33.72
15.10,3.05,3.97,34.21
21.39,5.44,6.08,35.31
15.75,4.72,10.17,31.81
15.61,4.06,20.93,19.49
37.44,3.64,44.03,9.78
61.81,4.80,49.52,8.29
54.14,9.93,26.92,12.45
57.86,13.49,24.92,10.78
59.45,17.62,10.44,14.02
47.05,16.23,5.54,11.70
36.65,12.85,5.15,11.29
32.44,10.03,4.81,12.15
29.96,8.20,5.48,10.68
22.35,9.50,6.27,11.56
17.54,7.26,5.77,11.64
16.99,5.19,8.00,10.37
16.71,4.07,7.73,6.95
25.98,2.97,9.68,8.06
22.91,3.05,12.33,11.19
29.97,6.27,14.34,18.27
31.12,7.36,15.31,22.06
32.32,9.84,16.07,29.63
29.52,8.22,14.95,32.09
32.74,11.62,16.60,35.00
35.16,8.98,18.35,36.61
34.71,10.04,23.18,34.49
29.96,15.38,18.02,33.06
32.96,11.58,18.50,29.05
41.36,13.95,31.58,18.29
60.32,13.41,33.65,12.02
55.08,10.73,22.71,9.47
56.26,16.86,20.40,8.39
65.92,28.93,10.80,14.13
47.45,22.59,6.44,12.82
39.19,16.89,5.04,11.58
39.04,23.76,6.22,10.39
37.84,17.37,5.70,9.93
29.15,13.20,6.00,11.55
26.46,9.92,7.58,11.84
30.03,9.68,8.19,10.00
33.98,14.70,9.35,7.24
38.82,12.19,10.03,8.11
41.73,10.74,11.96,12.91
40.28,13.54,16.60,20.00
44.17,10.12,14.96,29.68
42.53,13.43,13.67,34.78
37.66,17.53,12.17,36.22
32.41,15.17,11.54,37.14
33.75,12.01,10.38,38.61
31.79,16.18,9.78,42.53
34.72,14.19,17.23,36.41
29.97,14.42,19.12,30.20
,,,
53.67,15.25,30.86,20.38
66.44,18.78,20.34,17.19
61.72,24.28,22.80,8.33
67.75,38.12,10.97,11.53
60.91,36.15,7.53,10.04
51.82,27.70,8.54,12.49
44.01,22.64,8.55,12.16
45.84,21.14,7.01,12.09
37.15,18.82,6.67,11.97
31.55,15.95,6.21,11.92
34.43,12.48,6.47,11.22
25.09,12.30,6.06,9.25
26.39,9.60,10.05,10.54
30.96,13.10,11.18,15.21
34.57,10.78,13.60,19.93
35.79,15.08,14.33,25.43
31.08,13.01,12.83,33.63
31.66,10.23,12.96,36.41
24.84,9.41,12.17,36.31
31.81,11.25,12.01,36.25
24.11,8.44,11.23,35.36
32.24,12.21,10.86,30.15
36.76,13.60,11.55,26.44
32.42,11.09,26.35,11.17
53.84,8.19,20.66,14.33
51.74,12.45,21.61,6.48
